,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,636,458,494,405,451,636,636,636,636,636,636,636,541,599,544,548,558,622,558,643,636,636,636,636,723,621,685,694,702,709,780,636,636,636,636,636,730,636,733,727,732,737,742,746,686,636,636,636
2,284,339,371,341,273,331,365,455,455,455,455,455,415,417,423,420,384,448,352,459,411,455,455,455,539,464,501,509,516,522,592,507,455,455,455,455,527,529,541,514,548,552,556,559,499,455,455,455
3,725,610,614,558,607,601,725,725,725,725,725,725,683,667,683,684,691,687,622,686,654,654,654,590,725,771,809,790,806,756,826,774,725,725,725,725,808,725,797,843,873,853,862,871,815,725,725,725
4,715,715,715,715,532,547,605,715,715,715,715,715,600,715,715,653,664,678,617,686,622,654,654,590,715,715,715,790,794,769,803,790,809,761,768,710,730,715,715,774,715,806,780,849,794,798,770,772
5,671,571,671,671,500,482,546,553,671,671,671,671,671,671,671,671,671,674,602,640,576,608,608,544,671,671,671,671,671,723,744,763,779,729,735,677,671,671,671,732,671,671,791,796,741,810,755,759
6,777,777,777,777,530,601,606,622,777,777,777,777,777,777,777,777,777,738,660,729,704,704,736,651,777,777,777,777,777,827,852,810,883,835,842,848,732,777,857,855,777,777,909,915,854,924,869,874
7,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,535,448,448,448,384,595,595,595,595,595,595,595,624,726,641,659,611,595,595,595,595,595,595,595,595,682,695,707,717
8,443,443,443,443,443,443,443,443,240,213,138,200,443,443,443,443,443,443,443,403,348,416,384,320,443,443,443,443,443,443,443,497,587,544,544,512,443,443,443,443,443,443,526,590,589,610,564,636
9,568,568,568,568,568,568,568,568,457,470,328,370,568,568,568,568,568,568,568,628,532,566,534,448,568,568,568,568,568,568,568,701,738,704,640,597,568,568,568,568,568,568,568,568,626,661,610,610
10,704,704,704,704,704,704,704,704,704,704,417,704,704,704,704,704,704,704,704,651,615,625,637,524,704,704,704,704,704,704,704,704,770,770,770,717,704,704,704,704,704,704,765,797,779,834,781,813
11,731,731,731,731,731,731,731,731,668,604,540,476,731,731,731,731,731,731,731,731,722,718,710,636,731,731,731,731,731,731,731,731,850,883,866,756,731,731,731,731,731,731,731,731,731,899,841,789
12,682,682,682,682,682,682,682,682,660,628,585,585,682,682,682,682,682,682,682,682,738,784,762,713,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682,682
13,-267,-298,-282,-308,-63,-63,-63,-63,-63,-63,-63,-63,-103,-128,-192,-160,-160,-63,-63,-63,-63,-63,-63,-63,-32,-70,4,-41,31,-19,-63,-63,-63,-63,-63,-63,10,51,63,74,83,93,101,109,-63,-63,-63,-63
14,-542,-453,-506,-527,-269,-269,-269,-269,-269,-269,-269,-269,-355,-325,-383,-377,-363,-370,-269,-269,-269,-269,-269,-269,-225,-289,-193,-204,-164,-215,-269,-269,-269,-269,-269,-269,-200,-151,-142,-166,-98,-121,-51,-40,-269,-269,-269,-269
15,-349,-369,-367,-384,-182,-182,-182,-182,-182,-182,-182,-182,-208,-212,-293,-299,-280,-286,-182,-182,-182,-182,-182,-182,-109,-173,-141,-141,-141,-141,-182,-182,-182,-182,-182,-182,-121,-77,-68,-92,-56,-50,-44,25,-182,-182,-182,-182
16,2,-183,-246,-190,-268,-221,2,2,2,2,2,2,-42,-51,-109,-126,-64,-64,-128,-21,-69,2,2,2,64,-5,70,88,104,54,124,2,2,2,2,2,71,130,125,136,147,157,166,238,186,2,2,2
17,-24,-211,-24,-205,-231,-243,-255,-200,-24,-24,-24,-24,-74,-74,-79,-141,-64,-64,-128,-21,-133,-82,-82,-24,-24,-18,54,68,81,29,98,44,112,-24,-24,-24,49,47,47,57,113,115,125,132,140,-24,-24,146
18,-3,-3,-3,-3,-3,-294,-247,-259,-3,-3,-3,-3,-3,-3,-3,-3,-3,-80,-144,-80,-112,-112,-48,-99,-3,-3,-3,29,47,-1,70,19,89,112,118,59,-3,-3,-3,46,-3,-3,100,173,123,132,140,147
19,2,2,2,2,2,2,-212,-164,-239,-183,-250,2,2,2,2,2,2,2,-128,-64,-96,-32,-16,-67,2,2,2,2,2,61,79,95,128,109,122,130,2,2,2,58,2,2,125,2,134,144,154,163
20,-125,-125,-125,-125,-125,-125,-125,-369,-369,-327,-343,-358,-125,-125,-125,-125,-125,-125,-125,-180,-256,-192,-160,-187,-125,-125,-125,-125,-125,-71,19,-45,9,1,17,-33,-125,-125,-125,-125,-125,-125,-125,-125,37,49,60,69
21,-62,-62,-62,-62,-62,-62,-62,-62,-254,-273,-292,-309,-62,-62,-62,-62,-62,-62,-62,-69,-192,-128,-96,-171,-62,-62,-62,-62,-62,-62,109,32,59,54,72,24,-62,-62,-62,-62,-62,-62,-62,-62,-62,95,108,120
22,-306,-306,-306,-306,-306,-306,-306,-306,-557,-592,-624,-525,-306,-306,-306,-306,-306,-306,-306,-352,-420,-367,-364,-420,-306,-306,-306,-306,-306,-306,-173,-237,-172,-205,-205,-237,-306,-306,-306,-306,-306,-306,-306,-83,-126,-117,-173,-173
23,-96,-96,-96,-96,-96,-96,-96,-96,-327,-304,-310,-301,-96,-96,-96,-96,-96,-96,-96,-156,-149,-163,-92,-152,-96,-96,-96,-96,-96,-96,-96,-29,-96,31,63,47,-96,-96,-96,-96,-96,-96,-96,-96,-96,111,63,127
24,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-452,-384,-95,-95,-95,-95,-95,-95,-95,-127,-180,-138,-157,-226,-95,-95,-95,-95,-95,-95,-95,-6,-95,19,31,-33,-95,-95,-95,-95,-95,-95,-95,-95,-95,127,106,90
25,423,416,445,482,466,452,439,548,548,548,548,548,491,486,481,476,472,532,468,548,548,548,548,548,610,529,605,593,660,602,548,548,548,548,548,548,607,666,674,640,656,648,648,648,584,548,548,548
26,560,534,513,495,479,465,516,613,613,613,613,613,606,577,577,561,576,576,512,613,613,613,613,613,700,620,678,654,720,643,613,613,613,613,613,613,675,734,729,710,704,672,688,688,613,613,613,613
27,409,410,389,405,403,403,532,532,532,532,532,532,474,456,440,426,445,468,463,522,532,532,532,532,586,526,591,578,606,592,532,532,532,532,532,532,594,660,660,588,652,640,640,704,597,645,532,532
28,321,336,302,334,274,286,272,323,317,405,405,405,376,376,376,344,374,374,310,371,405,405,405,405,499,441,444,457,464,447,405,405,405,405,405,405,529,524,526,516,523,449,512,496,440,483,419,342
