,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,6706,6388,6298,6154,6143,6277,6254,6224,6265,6324,6435,6546,8458,8397,8260,8214,8129,8193,8110,8165,8203,8201,8198,8326,9487,9629,9627,9638,9675,9683,9696,9816,9878,9878,9875,9848,7639,7746,7636,7627,7645,7621,7653,7688,7783,7906,7928,7973
2,6157,6107,6056,6012,5936,5986,6046,6165,6257,6361,6523,6679,8108,8018,7984,7972,7887,7991,7935,8056,8102,8187,8228,8395,9846,9926,9924,9894,9893,9866,9831,9849,9929,9893,9851,9802,8024,8011,7966,7941,7903,7855,7846,7858,7923,8013,8013,8051
3,6961,6743,6664,6589,6631,6606,6747,6754,6837,6924,7075,7211,8710,8610,8584,8571,8522,8553,8506,8576,8625,8652,8680,8777,9405,9368,9360,9367,9370,9403,9389,9381,9466,9443,9410,9366,7530,7603,7507,7427,7398,7378,7386,7390,7457,7598,7596,7628
4,6577,6461,6360,6339,6135,6140,6227,6354,6445,6553,6719,6872,8290,8311,8261,8182,8140,8192,8162,8243,8276,8347,8389,8497,9774,9796,9827,9737,9745,9743,9751,9700,9705,9711,9670,9674,7907,7911,7875,7768,7821,7680,7708,7648,7707,7751,7779,7814
5,5863,5670,5705,5699,5537,5526,5642,5691,5929,6067,6271,6475,7649,7578,7545,7553,7518,7578,7556,7632,7690,7800,7880,8038,9406,9406,9392,9420,9432,9520,9515,9622,9634,9653,9742,9780,8655,8631,8589,8468,8510,8456,8330,8310,8353,8302,8324,8315
6,6595,6518,6454,6468,6234,6314,6365,6414,6682,6795,6974,7150,8410,8350,8334,8351,8326,8354,8323,8422,8515,8562,8648,8753,9795,9780,9781,9738,9721,9620,9624,9573,9518,9508,9442,9372,7996,7917,7780,7710,7762,7692,7549,7531,7574,7536,7571,7577
7,5952,5834,5746,5733,5730,5727,5769,5808,5935,6079,6286,6495,7685,7581,7541,7532,7483,7538,7584,7559,7601,7679,7760,7925,9377,9364,9331,9352,9351,9384,9358,9472,9572,9558,9614,9568,8147,8139,8103,8053,8044,7984,7983,7971,7865,7880,7835,7825
8,5795,5671,5566,5547,5529,5518,5551,5577,5477,5566,5673,5910,7590,7470,7407,7382,7325,7359,7389,7365,7415,7537,7558,7683,9364,9315,9257,9255,9231,9245,9193,9314,9377,9382,9428,9458,8347,8375,8375,8361,8374,8344,8284,8241,8247,8286,8335,8299
9,6250,6140,6044,6019,6001,5977,5994,6004,5980,6093,6108,6316,8063,7974,7920,7901,7840,7869,7883,7957,7940,8009,8018,8106,9868,9849,9814,9825,9808,9817,9758,9904,9900,9905,9914,9915,8115,8106,8073,8042,8049,8016,8035,8048,8016,8035,8096,8140
10,6316,6211,6127,6117,6105,6103,6132,6163,6266,6385,6279,6739,8095,8009,7970,7976,7928,7977,8017,7990,8063,8126,8193,8268,9861,9852,9833,9863,9869,9907,9867,9873,9824,9773,9716,9704,8139,8119,8063,8008,7987,7934,7863,7827,7834,7822,7861,7853
