,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,2836,2925,3672,2651,3798,4154,4496,3428,3415,3950,3860,5054,3451,3579,2953,3411,3170,3244,3923,2773,2762,3790,3703,3452,3748,3361,3515,4311,3310,3857,3545,3923,3608,3636,3900,3721,2921,4220,3813,3562,3339,3716,4532,4090,3483,4421,4083,3588
2,4428,4759,5203,4376,5508,5497,5660,5236,5181,5671,5638,6621,5119,5217,4602,5098,4855,4919,5516,4524,4004,5514,5333,5211,5340,5110,5142,5906,5097,5507,5206,5059,5379,5411,5642,5459,4586,5887,5365,5316,4887,5408,6177,5770,5146,6220,5724,5328
3,5926,6320,6715,6040,7075,7200,7409,6815,6706,7158,7195,7982,6745,6827,6205,6748,6421,6534,7115,6104,5594,6492,6274,6294,6878,6669,6784,7390,6696,7025,6741,6604,6905,6960,7146,6978,6148,7309,6853,6895,6453,6957,7658,7367,6819,7778,7141,6842
4,7362,7917,8125,7565,8644,8792,8542,8408,8252,8656,8775,9383,8311,8270,7714,8385,8015,8076,8671,7699,7307,8150,7860,7924,8328,8194,8318,8913,8351,8501,8290,8215,7970,8118,8189,8175,7740,8773,8214,8483,7847,8541,9169,8979,8445,9114,8320,8184
5,8705,9551,9440,8980,10182,10333,10045,9767,9687,10056,10274,10694,9699,9679,9098,9706,9373,9592,10156,9241,8898,9692,9332,9565,9684,9611,9740,10193,9753,9942,9739,9716,9484,9785,9698,9708,9092,10152,9515,10100,9202,9857,10642,10475,9966,10726,9814,9762
6,10059,10778,10767,10386,11616,11778,11311,11252,11142,11466,11787,11520,11172,11105,10509,11161,10812,11072,11592,10681,10422,11118,10702,11017,11055,11031,11185,11536,11221,11270,11165,11094,10937,11219,11151,11191,10704,11442,10946,11462,10575,11288,11729,11919,11495,12219,11189,11225
7,11350,11835,11540,11736,10554,10735,11167,12288,11498,11330,11023,10214,11800,11840,11664,12290,11793,11096,11816,11878,11880,11049,11489,11567,11354,11675,11026,11020,11591,10595,11052,10720,11053,11148,10491,11044,11286,10090,10719,10847,11366,11008,10438,10935,11187,11169,11026,10618
8,10204,10439,10229,10586,9136,9290,9879,10830,10083,9954,9578,8898,10339,10436,10272,10857,10373,9706,10456,10430,10352,9588,10042,10068,10016,10285,9589,9704,10143,9268,9736,9298,9558,9576,8973,9535,9871,8692,9441,9426,10004,9596,8726,9188,9640,9522,9601,9106
9,8817,8968,8852,9146,7626,7755,8506,9301,8540,8497,7988,7456,8796,8959,8807,9361,8884,8235,9008,9018,8905,8078,8598,8559,8606,8827,8073,8309,8618,7857,8336,7831,8064,8058,7508,8013,8381,7214,8097,7944,8566,8107,7567,8028,8146,7986,8105,7582
10,7476,7563,7510,7768,6158,6260,7189,7838,7142,7126,6317,6027,7299,7519,7388,7911,7428,6812,7612,7487,7252,6598,7154,6980,7246,7420,6594,6964,7135,6483,6992,6641,6555,6472,5955,6429,6947,5781,6797,6514,7164,6661,5645,6108,6492,6438,6591,5988
