,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,-524,-650,-592,-583,-463,-524,-524,-524,-524,-524,-524,-524,-636,-642,-679,-535,-485,-421,-325,-218,-524,-524,-524,-524,-682,-682,-597,-551,-495,-431,-361,-524,-524,-524,-524,-524,-753,-524,-731,-669,-621,-567,-380,-243,-163,-524,-524,-524
2,645,476,427,401,297,231,177,355,355,355,355,355,571,500,427,369,320,256,224,139,43,355,355,355,580,516,361,337,308,244,175,100,355,355,355,355,608,595,533,423,432,376,252,184,177,355,355,355
3,-555,-789,-779,-708,-551,-431,-555,-555,-555,-555,-555,-555,-853,-807,-753,-688,-549,-492,-421,-293,-229,-186,-26,-39,-555,-839,-742,-674,-594,-495,-444,-257,-555,-555,-555,-555,-956,-555,-798,-759,-700,-660,-487,-395,-361,-555,-555,-555
4,487,487,487,487,602,521,500,487,487,487,487,487,969,487,487,735,694,515,503,421,357,197,133,149,487,487,487,704,681,635,509,379,324,196,246,112,1039,487,487,798,487,739,585,477,422,362,298,294
5,-665,-1082,-665,-665,-856,-767,-749,-742,-665,-665,-665,-665,-665,-665,-665,-665,-665,-822,-773,-640,-640,-512,-469,-437,-665,-665,-665,-665,-665,-796,-710,-633,-541,-470,-521,-323,-665,-665,-665,-973,-665,-665,-714,-691,-686,-600,-570,-570
6,521,521,521,521,767,634,532,569,521,521,521,521,521,521,521,521,521,645,603,501,448,320,256,213,521,521,521,521,521,693,578,482,363,291,277,136,1121,521,972,888,521,521,613,559,497,380,348,377
7,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-235,-192,-64,0,-21,-116,-116,-116,-116,-116,-116,-116,-197,-159,-42,-64,36,-116,-116,-116,-116,-116,-116,-116,-116,-206,-155,-161,-166
8,361,361,361,361,361,361,361,361,374,310,314,178,361,361,361,361,361,361,361,497,434,310,256,256,361,361,361,361,361,361,361,407,400,320,341,229,361,361,361,361,361,361,477,487,472,376,385,393
9,-618,-618,-618,-618,-618,-618,-618,-618,-624,-592,-542,-421,-618,-618,-618,-618,-618,-618,-618,-739,-729,-554,-550,-576,-618,-618,-618,-618,-618,-618,-618,-723,-669,-576,-576,-512,-618,-618,-618,-618,-618,-618,-618,-618,-738,-688,-650,-660
10,827,827,827,827,827,827,827,827,827,827,715,827,827,827,827,827,827,827,827,941,893,771,718,707,827,827,827,827,827,827,827,827,853,734,773,682,827,827,827,827,827,827,1019,962,925,852,810,874
11,-667,-667,-667,-667,-667,-667,-667,-667,-670,-670,-606,-542,-667,-667,-667,-667,-667,-667,-667,-667,-782,-688,-624,-622,-667,-667,-667,-667,-667,-667,-667,-667,-727,-644,-644,-569,-667,-667,-667,-667,-667,-667,-667,-667,-667,-772,-686,-759
12,756,756,756,756,756,756,756,756,793,777,734,670,756,756,756,756,756,756,756,756,868,795,678,734,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756
13,-582,-411,-341,-298,-359,-359,-359,-359,-359,-359,-359,-359,-469,-469,-405,-309,-266,-359,-359,-359,-359,-359,-359,-359,-490,-452,-366,-266,-250,-172,-359,-359,-359,-359,-359,-359,-606,-536,-490,-437,-378,-250,-49,35,-359,-359,-359,-359
14,615,458,442,382,397,397,397,397,397,397,397,397,510,505,438,374,293,192,397,397,397,397,397,397,546,482,386,343,247,209,397,397,397,397,397,397,639,625,533,453,393,294,154,5,397,397,397,397
15,-632,-454,-395,-331,-409,-409,-409,-409,-409,-409,-409,-409,-583,-530,-454,-329,-281,-146,-409,-409,-409,-409,-409,-409,-624,-496,-432,-325,-213,-226,-409,-409,-409,-409,-409,-409,-777,-642,-551,-471,-410,-311,-171,-22,-409,-409,-409,-409
16,585,709,649,606,517,422,585,585,585,585,585,585,867,766,693,606,533,469,373,266,218,585,585,585,911,756,692,600,552,431,361,585,585,585,585,585,952,938,800,733,627,573,385,313,237,585,585,585
17,-604,-915,-604,-719,-612,-490,-426,-385,-604,-604,-604,-604,-999,-902,-807,-724,-640,-576,-480,-437,-277,-162,-45,-604,-604,-950,-830,-681,-636,-583,-461,-328,-250,-604,-604,-604,-1149,-1007,-922,-873,-764,-636,-513,-449,-382,-604,-604,-119
18,380,380,380,380,380,566,512,390,380,380,380,380,380,380,380,380,380,582,533,405,341,170,106,55,380,380,380,780,725,581,475,417,225,163,88,11,380,380,380,847,380,380,529,475,352,283,147,132
19,-380,-380,-380,-380,-380,-380,-496,-440,-316,-232,-161,-380,-380,-380,-380,-380,-380,-380,-576,-448,-384,-277,-165,-114,-380,-380,-380,-380,-380,-647,-565,-429,-353,-273,-260,-57,-380,-380,-380,-921,-380,-380,-626,-380,-440,-382,-318,-249
20,374,374,374,374,374,374,374,556,376,312,244,172,374,374,374,374,374,374,374,546,469,341,213,213,374,374,374,374,374,693,642,476,380,307,291,149,374,374,374,374,374,374,374,374,443,385,321,316
21,-460,-460,-460,-460,-460,-460,-460,-460,-470,-406,-401,-269,-460,-460,-460,-460,-460,-460,-460,-577,-576,-448,-384,-341,-460,-460,-460,-460,-460,-460,-757,-629,-521,-458,-385,-241,-460,-460,-460,-460,-460,-460,-460,-460,-460,-533,-475,-411
22,321,321,321,321,321,321,321,321,388,329,201,192,321,321,321,321,321,321,321,502,451,321,260,203,321,321,321,321,321,321,539,411,331,219,262,102,321,321,321,321,321,321,321,435,392,337,273,266
23,-449,-449,-449,-449,-449,-449,-449,-449,-490,-455,-367,-294,-449,-449,-449,-449,-449,-449,-449,-629,-534,-452,-378,-382,-449,-449,-449,-449,-449,-449,-449,-623,-449,-418,-418,-290,-449,-449,-449,-449,-449,-449,-449,-449,-449,-503,-471,-484
24,736,736,736,736,736,736,736,736,736,736,736,650,736,736,736,736,736,736,736,972,834,740,685,648,736,736,736,736,736,736,736,884,736,749,674,546,736,736,736,736,736,736,736,736,736,738,717,733
25,-382,-223,-234,-133,-77,51,64,-139,-139,-139,-139,-139,-309,-202,-212,-157,-97,31,38,-139,-139,-139,-139,-139,-263,-275,-218,-93,-93,-29,-139,-139,-139,-139,-139,-139,-367,-357,-249,-192,-192,-128,21,69,172,-139,-139,-139
26,581,466,434,388,268,197,184,328,328,328,328,328,493,445,391,347,268,200,129,328,328,328,328,328,438,409,344,254,251,189,328,328,328,328,328,328,451,446,442,374,320,256,160,53,328,328,328,328
27,-578,-440,-418,-332,-227,-164,-338,-338,-338,-338,-338,-338,-461,-497,-401,-351,-310,-231,-162,-24,-338,-338,-338,-338,-518,-471,-422,-332,-307,-268,-338,-338,-338,-338,-338,-338,-586,-558,-445,-416,-413,-352,-224,-160,-117,43,-338,-338
28,586,531,549,452,384,293,186,129,1,294,294,294,502,532,431,384,332,276,183,86,294,294,294,294,527,478,362,311,318,240,294,294,294,294,294,294,542,523,410,370,377,304,128,96,48,-165,-165,-268
29,-694,-577,-540,-497,-360,-256,-199,-135,63,-344,-344,-344,-684,-595,-495,-448,-396,-291,-228,-146,-75,-344,126,-344,-625,-641,-465,-409,-410,-318,-220,-94,-344,-344,-344,-344,-718,-683,-584,-542,-485,-407,-255,-192,-64,0,43,75
